lengthKm,xOverL,uxFSMean
40,0.930000,30.18628786
40,0.940000,28.85342065
40,0.950000,27.53359813
40,0.960000,26.24112265
40,0.970000,24.98667061
40,0.980000,23.78155301
40,0.990000,22.64101035
40,1.000000,21.54603626
80,0.000000,20.07042222
80,0.010000,18.75984715
80,0.020000,17.56452311
80,0.030000,16.52311465
80,0.040000,15.60463535
80,0.050000,14.78393262
80,0.060000,14.06886050
80,0.070000,13.43412503
80,0.080000,12.86282411
80,0.090000,12.37129122
80,0.100000,11.92239488
80,0.110000,11.53771827
80,0.120000,11.19330647
80,0.130000,10.89032647
80,0.140000,10.63049911
80,0.150000,10.40206424
80,0.160000,10.20649898
80,0.170000,10.04247382
80,0.180000,9.89963735
80,0.190000,9.78909718
80,0.200000,9.69618453
80,0.210000,9.62575038
80,0.220000,9.57447221
80,0.230000,9.53852899
80,0.240000,9.52003457
80,0.250000,9.51415608
80,0.260000,9.51982928
80,0.270000,9.53968414
80,0.280000,9.57285072
80,0.290000,9.62610018
80,0.300000,9.69609766
80,0.310000,9.78654667
80,0.320000,9.90206051
80,0.330000,10.03934392
80,0.340000,10.20579433
80,0.350000,10.40203657
80,0.360000,10.62473857
80,0.370000,10.89225805
80,0.380000,11.18904058
80,0.390000,11.53417730
80,0.400000,11.92351687
80,0.410000,12.35966738
80,0.420000,12.86413374
80,0.430000,13.42777553
80,0.440000,14.06039571
80,0.450000,14.78787824
80,0.460000,15.58622827
80,0.470000,16.52192823
80,0.480000,17.55648796
80,0.490000,18.73855747
80,0.500000,20.08798792
80,0.510000,21.60847785
80,0.520000,23.35356919
80,0.530000,25.34864635
80,0.540000,27.56892557
80,0.550000,30.18480492
80,0.560000,33.06110445
80,0.570000,36.38636939
80,0.580000,40.08516336
80,0.590000,44.18560965
80,0.600000,48.77364543
80,0.610000,53.73541339
80,0.620000,58.99994047
80,0.630000,64.53741252
80,0.640000,70.14076611
80,0.650000,75.58252022
80,0.660000,80.78248466
80,0.670000,85.39047575
80,0.680000,89.29460594
80,0.690000,92.43394105
80,0.700000,94.70215463
80,0.710000,96.18581198
80,0.720000,97.17720476
80,0.730000,97.61119597
80,0.740000,97.83944482
80,0.750000,97.89005047
80,0.760000,97.84027180
80,0.770000,97.64038790
80,0.780000,97.13674767
80,0.790000,96.23190977
80,0.800000,94.73408218
80,0.810000,92.39201405
80,0.820000,89.43392389
80,0.830000,85.40158370
80,0.840000,80.81881487
80,0.850000,75.67602168
80,0.860000,70.17782188
80,0.870000,64.58202092
80,0.880000,59.07160602
80,0.890000,53.78664214
80,0.900000,48.78834475
80,0.910000,44.28225385
80,0.920000,40.09083643
80,0.930000,36.42051101
80,0.940000,33.10927725
80,0.950000,30.16969855
80,0.960000,27.62018731
80,0.970000,25.35720557
80,0.980000,23.36216099
80,0.990000,21.63984378
80,1.000000,20.07015464
160,0.000000,17.66656214
160,0.010000,16.56366796
160,0.020000,15.56106254
160,0.030000,14.68700595
160,0.040000,13.91595550
160,0.050000,13.22406354
160,0.060000,12.61858262
160,0.070000,12.07747399
160,0.080000,11.58831848
160,0.090000,11.16288699
160,0.100000,10.77288950
160,0.110000,10.43445645
160,0.120000,10.12969303
160,0.130000,9.85875932
160,0.140000,9.62417587
160,0.150000,9.41573015
160,0.160000,9.23597513
160,0.170000,9.08313672
160,0.180000,8.94951288
160,0.190000,8.84476071
160,0.200000,8.75649967
160,0.210000,8.68904978
160,0.220000,8.64015206
160,0.230000,8.60557909
160,0.240000,8.58800054
160,0.250000,8.58227194
160,0.260000,8.58779591
160,0.270000,8.60682025
160,0.280000,8.63862163
160,0.290000,8.68953600
160,0.300000,8.75678245
160,0.310000,8.84254573
160,0.320000,8.95223801
160,0.330000,9.08076534
160,0.340000,9.23594381
160,0.350000,9.41627007
160,0.360000,9.62023949
160,0.370000,9.86097441
160,0.380000,10.12736274
160,0.390000,10.43252195
160,0.400000,10.77512865
160,0.410000,11.15489628
160,0.420000,11.59112690
160,0.430000,12.07403429
160,0.440000,12.61417890
160,0.450000,13.22945073
160,0.460000,13.90397166
160,0.470000,14.68933457
160,0.480000,15.55829546
160,0.490000,16.55007514
160,0.500000,17.68852731
160,0.510000,18.97717707
160,0.520000,20.47914774
160,0.530000,22.22297606
160,0.540000,24.20726819
160,0.550000,26.63997240
160,0.560000,29.40252132
160,0.570000,32.81377810
160,0.580000,36.83870360
160,0.590000,41.65993565
160,0.600000,47.72506889
160,0.610000,55.03853999
160,0.620000,63.95571491
160,0.630000,75.19545367
160,0.640000,88.23437750
160,0.650000,104.76978249
160,0.660000,123.50178282
160,0.670000,144.62238625
160,0.680000,167.14267486
160,0.690000,189.18269004
160,0.700000,208.25528022
160,0.710000,222.58300708
160,0.720000,232.44376685
160,0.730000,236.40173002
160,0.740000,238.17744538
160,0.750000,238.49213927
160,0.760000,238.20730533
160,0.770000,236.73012980
160,0.780000,231.96578947
160,0.790000,222.84203503
160,0.800000,208.60275499
160,0.810000,188.97548409
160,0.820000,167.31256323
160,0.830000,144.94166879
160,0.840000,123.52874562
160,0.850000,104.71882391
160,0.860000,88.62116451
160,0.870000,75.02753967
160,0.880000,64.04762344
160,0.890000,55.13944659
160,0.900000,47.62529487
160,0.910000,41.82068040
160,0.920000,36.80809280
160,0.930000,32.82223161
160,0.940000,29.44967089
160,0.950000,26.59903870
160,0.960000,24.24922691
160,0.970000,22.22222454
160,0.980000,20.47690353
160,0.990000,19.00004579
160,1.000000,17.66626555
