lengthKm,xOverL,uxPISM
10,0.390000,13.52707750
10,0.400000,14.05498784
10,0.410000,14.62287119
10,0.420000,15.25870868
10,0.430000,15.83591907
10,0.440000,16.41312946
10,0.450000,17.01965340
10,0.460000,17.58593783
10,0.470000,18.14476064
10,0.480000,18.66334394
10,0.490000,19.13982232
10,0.500000,19.58325634
10,0.510000,20.02669037
10,0.520000,20.47012439
10,0.530000,20.84480482
10,0.540000,21.16272356
10,0.550000,21.45132876
10,0.560000,21.74553018
10,0.570000,22.01308292
10,0.580000,22.23639885
10,0.590000,22.42880231
10,0.600000,22.55325164
10,0.610000,22.70808047
10,0.620000,22.80774653
10,0.630000,22.92979748
10,0.640000,23.01294136
10,0.650000,23.07156846
10,0.660000,23.10114849
10,0.670000,23.13019555
10,0.680000,23.15950910
10,0.690000,23.18882264
10,0.700000,23.18882264
10,0.710000,23.18882264
10,0.720000,23.18882264
10,0.730000,23.18882264
10,0.740000,23.18882264
10,0.750000,23.18882264
10,0.760000,23.18882264
10,0.770000,23.18882264
10,0.780000,23.18882264
10,0.790000,23.18882264
10,0.800000,23.18882264
10,0.810000,23.18882264
10,0.820000,23.18882264
10,0.830000,23.18882264
10,0.840000,23.13019555
10,0.850000,23.10887661
10,0.860000,23.07156846
10,0.870000,23.01294136
10,0.880000,22.94205587
10,0.890000,22.83759305
10,0.900000,22.70381668
10,0.910000,22.57163923
10,0.920000,22.43626394
10,0.930000,22.27317403
10,0.940000,22.05438837
10,0.950000,21.81908053
10,0.960000,21.52221424
10,0.970000,21.19603441
10,0.980000,20.86985458
10,0.990000,20.50316875
10,1.000000,20.35740048
20,0.000000,29.99766102
20,0.010000,28.94901910
20,0.020000,27.28678521
20,0.030000,25.42651784
20,0.040000,23.65201299
20,0.050000,21.79174561
20,0.060000,20.01724077
20,0.070000,18.41426100
20,0.080000,16.81128123
20,0.090000,15.12253892
20,0.100000,13.64430466
20,0.110000,12.26118885
20,0.120000,11.04959811
20,0.130000,9.83800737
20,0.140000,8.74258588
20,0.150000,7.86702835
20,0.160000,7.04682664
20,0.170000,6.39815000
