lengthKm,xOverL,uxFSMean
80,1.000000,28.44443194
160,0.000000,25.55700827
160,0.010000,22.68605387
160,0.020000,19.94615018
160,0.030000,17.47058221
160,0.040000,15.21600346
160,0.050000,13.25568616
160,0.060000,11.47295187
160,0.070000,9.96913803
160,0.080000,8.59909124
160,0.090000,7.44620320
160,0.100000,6.42715152
160,0.110000,5.55378857
160,0.120000,4.82548538
160,0.130000,4.19201920
160,0.140000,3.66515581
160,0.150000,3.22477402
160,0.160000,2.84486318
160,0.170000,2.54720276
160,0.180000,2.28443917
160,0.190000,2.08640937
160,0.200000,1.92113118
160,0.210000,1.79390975
160,0.220000,1.70655891
160,0.230000,1.64179643
160,0.240000,1.61192923
160,0.250000,1.60177339
160,0.260000,1.61052390
160,0.270000,1.64546076
160,0.280000,1.69880987
160,0.290000,1.79375436
160,0.300000,1.91381431
160,0.310000,2.07295524
160,0.320000,2.27911630
160,0.330000,2.52043396
160,0.340000,2.83479850
160,0.350000,3.19752706
160,0.360000,3.63833514
160,0.370000,4.16946914
160,0.380000,4.78044125
160,0.390000,5.52520798
160,0.400000,6.37468840
160,0.410000,7.37251460
160,0.420000,8.54428422
160,0.430000,9.86177391
160,0.440000,11.40917906
160,0.450000,13.12257895
160,0.460000,15.10955552
160,0.470000,17.31544175
160,0.480000,19.78277558
160,0.490000,22.50306581
160,0.500000,25.48380943
160,0.510000,28.75897208
160,0.520000,32.29426946
160,0.530000,36.07367427
160,0.540000,40.11132995
160,0.550000,44.34031626
160,0.560000,48.81454829
160,0.570000,53.40061324
160,0.580000,58.13564577
160,0.590000,62.91878058
160,0.600000,67.73693866
160,0.610000,72.50403150
160,0.620000,77.20908505
160,0.630000,81.71544030
160,0.640000,86.07384128
160,0.650000,90.10634621
160,0.660000,93.82062890
160,0.670000,97.21513983
160,0.680000,100.05330226
160,0.690000,102.53293249
160,0.700000,104.50618823
160,0.710000,105.97757504
160,0.720000,107.14430183
160,0.730000,107.77080796
160,0.740000,108.18513546
160,0.750000,108.30489325
160,0.760000,108.23501447
160,0.770000,107.96205801
160,0.780000,107.27079448
160,0.790000,106.30835660
160,0.800000,104.82583476
160,0.810000,102.90077839
160,0.820000,100.58668732
160,0.830000,97.66741837
160,0.840000,94.44653153
160,0.850000,90.75960558
160,0.860000,86.75261795
160,0.870000,82.49794111
160,0.880000,77.96959647
160,0.890000,73.32642079
160,0.900000,68.54028148
160,0.910000,63.73081565
160,0.920000,58.91272058
160,0.930000,54.19344368
160,0.940000,49.52979636
160,0.950000,45.09321930
160,0.960000,40.78561490
160,0.970000,36.75233599
160,0.980000,32.89178592
160,0.990000,29.15375123
160,1.000000,25.56619611
