lengthKm,xOverL,uxPISM
80,0.050000,14.48796877
80,0.060000,13.99578040
80,0.070000,13.26622458
80,0.080000,12.75483737
80,0.090000,12.31675481
80,0.100000,11.92230597
80,0.110000,11.63257806
80,0.120000,11.34634085
80,0.130000,10.96236410
80,0.140000,10.70230712
80,0.150000,10.57838735
80,0.160000,10.38639898
80,0.170000,10.19441061
80,0.180000,10.19441061
80,0.190000,10.00242223
80,0.200000,9.99369549
80,0.210000,9.81043386
80,0.220000,9.81043386
80,0.230000,9.81043386
80,0.240000,9.81043386
80,0.250000,9.81043386
80,0.260000,9.81043386
80,0.270000,9.81043386
80,0.280000,9.81043386
80,0.290000,9.81043386
80,0.300000,10.00242223
80,0.310000,10.03034782
80,0.320000,10.19441061
80,0.330000,10.19441061
80,0.340000,10.57664200
80,0.350000,10.57838735
80,0.360000,10.87684201
80,0.370000,11.12293619
80,0.380000,11.36903038
80,0.390000,11.73031759
80,0.400000,12.11429434
80,0.410000,12.49827109
80,0.420000,13.12136063
80,0.430000,13.65020133
80,0.440000,14.34485017
80,0.450000,15.01157343
80,0.460000,15.83363274
80,0.470000,16.78135716
80,0.480000,17.86172810
80,0.490000,18.95955252
80,0.500000,20.36979439
80,0.510000,22.01391301
80,0.520000,23.86223744
80,0.530000,25.94443861
80,0.540000,28.02663979
80,0.550000,30.85934097
80,0.560000,33.80025378
80,0.570000,37.14259682
80,0.580000,40.86891661
80,0.590000,44.99317594
80,0.600000,49.71783527
80,0.610000,54.88930391
80,0.620000,60.12185975
80,0.630000,65.38583188
80,0.640000,71.24845866
80,0.650000,76.77946916
80,0.660000,81.81829128
80,0.670000,86.22878782
80,0.680000,89.65141691
80,0.690000,92.60978321
80,0.700000,94.52966694
80,0.710000,95.59782044
80,0.720000,96.33959370
80,0.730000,96.39719021
80,0.740000,96.58917858
80,0.750000,96.58917858
80,0.760000,96.58917858
80,0.770000,96.39719021
80,0.780000,96.13015183
80,0.790000,95.30809253
80,0.800000,93.72680647
80,0.810000,91.37058553
80,0.820000,88.22023086
80,0.830000,84.18672967
80,0.840000,79.36084010
80,0.850000,74.07417844
80,0.860000,68.71944818
80,0.870000,63.11687838
80,0.880000,57.29439462
80,0.890000,52.15957831
80,0.900000,47.40524805
80,0.910000,43.15357825
80,0.920000,39.11658637
80,0.930000,35.44611774
80,0.940000,32.34986888
80,0.950000,29.48051538
80,0.960000,27.01433746
80,0.970000,24.78901767
80,0.980000,22.85517115
80,0.990000,21.27039440
80,1.000000,20.64032346
160,0.000000,18.00343634
160,0.010000,16.97216066
160,0.020000,15.94088498
160,0.030000,15.02465201
